,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
1133,1134,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Middelburg,,,,,None,,55.56,Unknown,,,,,
1134,1135,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,,30-40,366.0,,Nairobi,Kenya,,,checked,None,,72.22,Kenya,KE,AF,38.4313975,1.4419683,Africa
1135,1136,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,male,,,214.0,,,United States of America,,,,Completed,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1136,1137,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,31.0,,,,,,,,,38.89,Unknown,,,,,
1137,1138,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,,,366.0,,Boston,United States of America,,,,None,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
1138,1139,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Kigali,Rwanda,Education,,,None,,66.67,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
1139,1140,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Nairobi,Kenya,,,,None,,55.56,Kenya,KE,AF,38.4313975,1.4419683,Africa
1140,1141,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1141,1142,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,male,,,214.0,checked,Lokoja,Nigeria,,,checked,None,,72.22,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1142,1143,RoomMaster,Joined post-Sprint - May,Free Trial,Senior Leader,ALUSB Alumni,checked,male,,,184.0,,Johannesburg,South Africa,Financial,,,,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1143,1144,RoomMaster,,Premium Paying,Young Leader,ALU 2016 ISA,checked,female,,,61.0,,Lagos,Nigeria,,,checked,,,55.56,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1144,1145,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,,,214.0,,Nairobi,Kenya,Insurance,,,None,,66.67,Kenya,KE,AF,38.4313975,1.4419683,Africa
1145,1146,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,,,366.0,,Lagos,Nigeria,,,,Completed,,61.11,Nigeria,NG,AF,7.9999721,9.6000359,Africa
1146,1147,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,,Mauritius,,,,Completed,,55.56,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
1147,1148,RoomMaster,,Free Trial,Mid-career Leader,Consultant,checked,male,,,61.0,checked,Berlin,Germany,,,,,,55.56,Germany,DE,EU,10.4234469,51.0834196,Europe
1148,1149,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,,,214.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1149,1150,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,,50-60,214.0,,Detroit,United States of America,,,,Completed,English; German; Mandarin Chinese; Spanish,72.22,United States of America,US,,-100.4458825,39.7837304,North America
1150,1151,RoomMaster,DSLP Nairobi 2020,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,,,214.0,,,Kenya,,,checked,Completed,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1151,1152,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,,,,31.0,,,,,,,,,33.33,Unknown,,,,,
1152,1153,RoomMaster,Existing Room member,Premium Paying,Mid-career Leader,ALUSB 2017 Alumni ISA,checked,female,,,214.0,,Johannesburg,South Africa,,,checked,None,,66.67,South Africa,ZA,AF,24.991639,-28.8166236,Africa
